course_id,user_id,state
C126767,U511908,active
C300581,U139455,active
C696253,U297015,active
C732380,U192467,active
C628944,U387250,active
C424294,U387250,active
C628944,U346561,active
C032306,U144991,active
C165687,U387250,active
C967824,U144991,active
C628944,U266829,deleted
C732380,U139455,active
C904302,U812256,active
C628944,U144991,active
C732380,U824115,active
C628944,U144991,active
C069987,U806445,active
C300581,U979173,active
C035962,U180698,active
C300581,U346561,active
C165687,U812256,active
C696253,U346561,active
C424294,U977454,active
C732380,U812256,active
C732380,U977454,active
C165687,U966556,deleted
C424294,U266829,active
C628944,U192467,active
C165687,U966556,active
C696253,U812256,active
C628944,U917218,active
C035962,U144991,deleted
C696253,U216074,active
C032306,U511908,active
C069987,U192467,active
C032306,U917218,active
C300581,U652606,active
C035962,U297015,active
C967824,U511908,active
C032306,U652606,active
C035962,U292615,active
C165687,U346561,active
C300581,U387250,active
C165687,U872282,active
C696253,U917218,active
C696253,U966556,active
C696253,U292615,active
C696253,U652606,active
C424294,U917218,deleted
C069987,U966556,active
C424294,U652606,deleted
C696253,U180698,active
C300581,U824115,active
