course_id,course_name,state
C494738,Air warfare,active
C921807,Mathematics,active
C300581,Astronautics,active
C032306,Judiciary,active
C963278,Botany,active
C126767,Feelings,deleted
C212550,Weather forecasting,active
C663390,Satire,deleted
C289566,Diseases,active
C145137,Investing,active
C967824,Budgeting,active
C165687,Canoeing,active
C732380,"Abortion, law",active
C696253,Substance abuse,active
C313224,Conservation,active
C439738,Depression glass,active
C069987,Holidays,deleted
C222487,Kitchen remodeling,active
C424294,Patents,active
C035962,French language,active
C628944,Suicide,active
